frequency_hz,ensemble_average_psd_v2_per_hz
1.356678657463635584e+00,1.570181523600613652e-10
1.360012020258386745e+00,4.032334395426940466e-11
1.363345383053137683e+00,1.722157467194756877e-10
1.366678745847888621e+00,7.972535045176763749e-10
1.370012108642639559e+00,5.019977603888121605e-11
1.373345471437390497e+00,3.707407829096404672e-11
1.376678834232141435e+00,7.571483453475399200e-11
1.380012197026892373e+00,2.027362211371005195e-11
1.383345559821643311e+00,1.290946107312156179e-10
1.386678922616394249e+00,5.438597544470219965e-11
1.390012285411145188e+00,3.086603094761431139e-11
1.393345648205896126e+00,2.316510778899539186e-11
1.396679011000647064e+00,4.192286153542683682e-10
1.400012373795398002e+00,1.639524708653714421e-10
1.403345736590148940e+00,1.468549249234329912e-10
1.406679099384899878e+00,2.347933273670787020e-11
1.410012462179650816e+00,8.852218595956873339e-11
1.413345824974401754e+00,3.094073688228720099e-11
1.416679187769152692e+00,8.451830346217874719e-13
1.420012550563903631e+00,6.487648324769467722e-11
1.423345913358654569e+00,7.694216089862287181e-11
1.426679276153405507e+00,5.679168150399339844e-11
1.430012638948156445e+00,1.687686113126157173e-12
1.433346001742907383e+00,2.373233120271432209e-10
1.436679364537658543e+00,1.021701728292034215e-10
1.440012727332409481e+00,2.502157727023612603e-11
1.443346090127160419e+00,7.191488421998939043e-12
1.446679452921911357e+00,1.453057338274729554e-11
1.450012815716662296e+00,3.894141157104380341e-11
1.453346178511413234e+00,4.132288925288235427e-11
1.456679541306164172e+00,1.310278896671261546e-10
1.460012904100915110e+00,1.228869555305534849e-11
1.463346266895666048e+00,5.478893930683861615e-11
1.466679629690416986e+00,4.287523060773469894e-11
1.470012992485167924e+00,2.008500874983533728e-11
1.473346355279918862e+00,1.303897403244359237e-11
1.476679718074669800e+00,1.443829494506378545e-11
1.480013080869420738e+00,3.159987663133734131e-10
1.483346443664171677e+00,1.297155773898655691e-10
1.486679806458922615e+00,5.320957088297442331e-11
1.490013169253673553e+00,7.775873587591082881e-12
1.493346532048424491e+00,3.457438562291357403e-10
1.496679894843175429e+00,1.032694675403236610e-10
1.500013257637926367e+00,1.819204853003346165e-10
1.503346620432677305e+00,1.986402148325034997e-10
1.506679983227428243e+00,1.267166069627992732e-10
1.510013346022179181e+00,5.910942504207241013e-11
1.513346708816930342e+00,2.176939637127570480e-10
1.516680071611681280e+00,4.798578278149183615e-11
1.520013434406432218e+00,1.515010378351290342e-11
1.523346797201183156e+00,3.671181315918252214e-11
1.526680159995934094e+00,3.849350085195142650e-11
1.530013522790685032e+00,1.465629434207070403e-11
1.533346885585435970e+00,1.757913098085835381e-11
1.536680248380186908e+00,1.773570867078008985e-11
1.540013611174937846e+00,3.954344515261621064e-11
1.543346973969688785e+00,1.146217202301779351e-11
1.546680336764439723e+00,4.214995853296293072e-11
1.550013699559190661e+00,2.864061748289459431e-10
1.553347062353941599e+00,7.590015629960993978e-11
1.556680425148692537e+00,6.309875259228609265e-11
1.560013787943443475e+00,1.589614404055064677e-10
1.563347150738194413e+00,3.982369439818683750e-11
1.566680513532945351e+00,6.348133666160077297e-11
1.570013876327696289e+00,2.103799618174278219e-11
1.573347239122447228e+00,3.215622682050530813e-12
1.576680601917198166e+00,6.117261936352160678e-11
1.580013964711949104e+00,2.091455803281010582e-11
1.583347327506700042e+00,4.329817966694963130e-11
1.586680690301450980e+00,5.815463451470756607e-11
1.590014053096201918e+00,4.115203955882593603e-10
